name,qty,value
G3SG1 | Desert Storm (Field-Tested),12951,12951
P250 | Sand Dune (Field-Tested),11489,11489
AWP | Safari Mesh (Field-Tested),3440,10320
SCAR-20 | Sand Mesh (Field-Tested),13956,13956
SG 553 | Waves Perforated (Field-Tested),14863,14863
Dual Berettas | Colony (Field-Tested),12926,12926
P90 | Sand Spray (Field-Tested),7761,7761
XM1014 | Blue Spruce (Field-Tested),14197,14197
PP-Bizon | Urban Dashed (Field-Tested),14991,14991
Nova | Polar Mesh (Field-Tested),12588,12588
AK-47 | The Empress (Field-Tested),38,128858
AUG | Storm (Well-Worn),1115,1115
SCAR-20 | Sand Mesh (Minimal Wear),2855,2855
Sealed Graffiti | Still Happy (Dust Brown),920,920
Sealed Graffiti | Popdog (Violent Violet),615,615
Sealed Graffiti | Worry (Tracer Yellow),461,922
Sealed Graffiti | Eye Spy (Tracer Yellow),490,490
Sealed Graffiti | Quickdraw (War Pig Pink),349,349
Sealed Graffiti | Noscope (Brick Red),328,328
Sealed Graffiti | Jump Shot (Battle Green),456,456
Sealed Graffiti | GTG (Bazooka Pink),500,500
Sealed Graffiti | Chess King (Monster Purple),645,645
Sealed Graffiti | Noscope (Battle Green),397,397
Sealed Graffiti | Noscope (Wire Blue),360,360
Sealed Graffiti | Mr. Teeth (Frog Green),763,1526
Sealed Graffiti | Speechless (Tiger Orange),599,599
Sealed Graffiti | Tilt (Desert Amber),625,625
Sealed Graffiti | Death Sentence (SWAT Blue),457,457
MP7 | Forest DDPAT (Minimal Wear),1310,1310
Sealed Graffiti | Loser (Monarch Blue),743,743
Sealed Graffiti | Ninja (Monarch Blue),378,378
Sealed Graffiti | Quickdraw (Dust Brown),541,541
Sealed Graffiti | Speechless (Violent Violet),543,543
Sealed Graffiti | Take Flight (Battle Green),406,406
MP7 | Akoben (Field-Tested),777,16317
Sealed Graffiti | Karambit (Violent Violet),274,274
Sealed Graffiti | Noscope (Monarch Blue),333,666
XM1014 | Blue Steel (Well-Worn),227,681
StatTrak™ Desert Eagle | Naga (Well-Worn),58,19372
StatTrak™ Dual Berettas | Cartel (Battle-Scarred),45,2025
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested),263,16832
Sawed-Off | Forest DDPAT (Field-Tested),14976,14976
Sealed Graffiti | Eco (Blood Red),342,342
Sealed Graffiti | Death Sentence (Cash Green),580,580
Sealed Graffiti | Worry (Blood Red),418,836
Sealed Graffiti | Death Sentence (Violent Violet),505,505
Sealed Graffiti | Ninja (Violent Violet),458,458
Sealed Graffiti | Tilt (Bazooka Pink),403,403
StatTrak™ MP9 | Deadly Poison (Minimal Wear),73,11607
Five-SeveN | Silver Quartz (Field-Tested),77,1540
Sealed Graffiti | Tilt (SWAT Blue),581,1162
PP-Bizon | Sand Dashed (Battle-Scarred),2375,2375
Sealed Graffiti | Cocky (Frog Green),310,310
Sealed Graffiti | Jump Shot (War Pig Pink),502,502
Sealed Graffiti | Toasted (Dust Brown),1209,1209
Five-SeveN | Nitro (Minimal Wear),423,1337103
P2000 | Ivory (Field-Tested),190,2090
Dual Berettas | Briar (Minimal Wear),143,50050
Sealed Graffiti | Lambda (Brick Red),510,510
StatTrak™ UMP-45 | Labyrinth (Field-Tested),490,12250
G3SG1 | Desert Storm (Battle-Scarred),2279,2279
Sealed Graffiti | Worry (Violent Violet),490,490
Sealed Graffiti | Noscope (Jungle Green),350,350
M249 | Contrast Spray (Field-Tested),246,12792
Sealed Graffiti | Still Happy (Tiger Orange),789,789
SCAR-20 | Contractor (Battle-Scarred),2750,2750
Sawed-Off | Fubar (Battle-Scarred),1614,9684
AK-47 | Case Hardened (Battle-Scarred),42,655368
M4A1-S | Decimator (Minimal Wear),231,395010
SCAR-20 | Sand Mesh (Battle-Scarred),2478,2478
Tec-9 | Army Mesh (Minimal Wear),3474,3474
Tec-9 | Red Quartz (Factory New),547,3829
AK-47 | Red Laminate (Field-Tested),168,691824
AWP | BOOM (Minimal Wear),313,3151284
Sealed Graffiti | Double (Princess Pink),607,607
Sealed Graffiti | Chess King (Battle Green),693,693
XM1014 | Blue Spruce (Minimal Wear),3187,3187
G3SG1 | Polar Camo (Well-Worn),1359,1359
Sealed Graffiti | Piggles (War Pig Pink),729,2187
Sealed Graffiti | Backstab (Blood Red),308,308
Sealed Graffiti | Popdog (Tracer Yellow),571,571
UMP-45 | Urban DDPAT (Well-Worn),1439,1439
Sealed Graffiti | Still Happy (Jungle Green),656,656
Sealed Graffiti | GTG (Tiger Orange),524,524
Sealed Graffiti | GGEZ (Bazooka Pink),248,248
Five-SeveN | Forest Night (Battle-Scarred),3376,3376
AK-47 | Orbit Mk01 (Battle-Scarred),279,337869
StatTrak™ P250 | Wingshot (Field-Tested),67,18425
StatTrak™ AWP | Worm God (Well-Worn),106,49714
AK-47 | Point Disarray (Field-Tested),257,205086
Sealed Graffiti | Chess King (Violent Violet),726,726
Sealed Graffiti | Bling (War Pig Pink),716,716
Sealed Graffiti | Jump Shot (Cash Green),495,495
Sealed Graffiti | GGEZ (Desert Amber),346,346
Sealed Graffiti | Rage Mode (Bazooka Pink),534,534
M249 | Blizzard Marbleized (Field-Tested),5,4365
StatTrak™ XM1014 | Quicksilver (Field-Tested),107,5778
Sealed Graffiti | QQ (Blood Red),375,375
Sealed Graffiti | Chess King (Monarch Blue),661,661
Negev | Army Sheen (Minimal Wear),9488,9488
Sealed Graffiti | Piggles (Princess Pink),609,1827
Sealed Graffiti | NaCl (Shark White),4073,4073
Sealed Graffiti | Karambit (Battle Green),303,606
Sealed Graffiti | GLHF (Monarch Blue),377,754
Sealed Graffiti | Double (Tracer Yellow),405,405
Chroma 2 Case Key,2701,0
PP-Bizon | Sand Dashed (Field-Tested),13403,13403
Tec-9 | Cut Out (Minimal Wear),20,7120
SCAR-20 | Carbon Fiber (Minimal Wear),92,1104
G3SG1 | Polar Camo (Minimal Wear),1662,1662
P250 | Boreal Forest (Battle-Scarred),1941,1941
Nova | Polar Mesh (Well-Worn),1057,1057
Sealed Graffiti | King Me (Desert Amber),53,159
P90 | Module (Factory New),156,41028
Nova | Predator (Minimal Wear),1287,1287
StatTrak™ Negev | Dazzle (Field-Tested),394,11032
