name,qty,value
UMP-45 | Corporal (Field-Tested),227,9761
MAC-10 | Carnivore (Minimal Wear),458,6870
G3SG1 | Orange Kimono (Battle-Scarred),73,21024
R8 Revolver | Amber Fade (Factory New),107,7383
StatTrak™ P2000 | Imperial (Minimal Wear),27,2376
XM1014 | Quicksilver (Well-Worn),20,480
StatTrak™ UMP-45 | Riot (Factory New),99,10692
StatTrak™ P2000 | Handgun (Minimal Wear),42,11550
Dual Berettas | Ventilators (Minimal Wear),159,1590
StatTrak™ P2000 | Ivory (Battle-Scarred),85,1615
MAC-10 | Rangeen (Factory New),75,4200
Guardian Elite Pin,20,61280
StatTrak™ PP-Bizon | Photic Zone (Minimal Wear),75,9600
Nova | Moon in Libra (Field-Tested),194,97000
Dual Berettas | Dualing Dragons (Battle-Scarred),101,1515
Autograph Capsule | G2 Esports | Cluj-Napoca 2015,212,152004
MP9 | Orange Peel (Battle-Scarred),132,528
StatTrak™ MP9 | Dart (Minimal Wear),13,2223
MAG-7 | Storm (Battle-Scarred),89,4539
StatTrak™ P90 | Elite Build (Minimal Wear),181,9955
P90 | Asiimov (Field-Tested),283,189610
Souvenir Five-SeveN | Forest Night (Field-Tested),102,4080
Sticker | Splyce (Foil) | MLG Columbus 2016,34,109990
AUG | Condemned (Battle-Scarred),99,396
Sticker | steel | Cluj-Napoca 2015,5,3555
AUG | Daedalus (Battle-Scarred),27,13122
StatTrak™ P90 | Blind Spot (Factory New),17,25534
SSG 08 | Big Iron (Minimal Wear),49,54929
StatTrak™ Galil AR | Eco (Well-Worn),34,20298
M4A4 | X-Ray (Factory New),67,116915
MP9 | Storm (Field-Tested),234,25974
StatTrak™ USP-S | Torque (Factory New),156,58968
MP9 | Dark Age (Factory New),14,150024
Sticker | DreamHack Winter 2014 (Foil),5,59345
★ Flip Knife | Ultraviolet (Field-Tested),27,500175
★ Butterfly Knife | Blue Steel (Field-Tested),3,313995
StatTrak™ Desert Eagle | Naga (Field-Tested),110,35640
Dual Berettas | Anodized Navy (Factory New),15,4125
StatTrak™ M4A4 | Evil Daimyo (Factory New),31,40920
Souvenir AUG | Radiation Hazard (Factory New),31,14167
StatTrak™ Sawed-Off | Serenity (Minimal Wear),13,6279
★ Gut Knife,27,341280
SCAR-20 | Cardiac (Battle-Scarred),31,10850
StatTrak™ M4A1-S | Dark Water (Field-Tested),22,217404
StatTrak™ AK-47 | Blue Laminate (Well-Worn),4,14248
Five-SeveN | Fowl Play (Minimal Wear),54,20088
P90 | Storm (Minimal Wear),90,31590
StatTrak™ CZ75-Auto | Pole Position (Battle-Scarred),15,870
★ M9 Bayonet | Case Hardened (Field-Tested),9,641241
MAC-10 | Indigo (Well-Worn),31,9238
StatTrak™ USP-S | Caiman (Factory New),15,146040
AK-47 | Aquamarine Revenge (Battle-Scarred),118,193166
MP9 | Hot Rod (Factory New),38,441864
★ Bayonet | Urban Masked (Field-Tested),22,387178
AWP | Hyper Beast (Well-Worn),148,279868
Sticker | Fnatic | DreamHack 2014,9,27945
MAG-7 | Heat (Battle-Scarred),45,1395
StatTrak™ M4A1-S | Basilisk (Battle-Scarred),96,132288
USP-S | Guardian (Field-Tested),240,70800
MAG-7 | Heat (Factory New),45,12150
M4A4 | Urban DDPAT (Minimal Wear),280,7560
StatTrak™ P90 | Death by Kitty (Minimal Wear),8,144208
Sawed-Off | Sage Spray (Field-Tested),306,17136
MAC-10 | Urban DDPAT (Well-Worn),20,7320
Five-SeveN | Fowl Play (Battle-Scarred),14,2450
StatTrak™ XM1014 | Heaven Guard (Minimal Wear),14,19068
StatTrak™ P250 | Mehndi (Field-Tested),25,70525
M4A4 | Bullet Rain (Minimal Wear),76,113696
Nova | Predator (Factory New),27,270
StatTrak™ P250 | Hive (Minimal Wear),28,18060
SG 553 | Traveler (Field-Tested),10,8830
FAMAS | Contrast Spray (Field-Tested),9,3042
Desert Eagle | Mudder (Minimal Wear),194,1358
SCAR-20 | Cardiac (Well-Worn),25,8550
Sticker | HellRaisers (Holo) | Katowice 2015,11,232771
Nova | Koi (Minimal Wear),96,7680
XM1014 | Heaven Guard (Factory New),11,11264
UMP-45 | Scorched (Well-Worn),317,17752
MAC-10 | Curse (Minimal Wear),31,29822
StatTrak™ Music Kit | Robert Allaire, Insurgency,6,2364
StatTrak™ UMP-45 | Briefing (Field-Tested),272,2720
★ Huntsman Knife | Night (Minimal Wear),4,63840
StatTrak™ USP-S | Caiman (Well-Worn),2,14042
MAG-7 | Seabird (Minimal Wear),127,35433
★ StatTrak™ Flip Knife | Urban Masked (Minimal Wear),1,18468
AUG | Triqua (Battle-Scarred),67,335
MP9 | Goo (Field-Tested),78,3276
FAMAS | Valence (Field-Tested),376,75576
Sealed Graffiti | Rage Mode (Wire Blue),707,707
Sealed Graffiti | Eat It (Violent Violet),561,561
G3SG1 | Hunter (Field-Tested),189,1134
StatTrak™ P2000 | Turf (Battle-Scarred),86,1376
Sawed-Off | Orange DDPAT (Battle-Scarred),6,7656
Sealed Graffiti | Quickdraw (Jungle Green),378,756
Sealed Graffiti | Tilt (Shark White),376,376
Sealed Graffiti | 8-Ball (Shark White),350,4200
Sealed Graffiti | Take Flight (Princess Pink),377,754
Sealed Graffiti | GLHF (Princess Pink),405,405
StatTrak™ M4A1-S | Flashback (Factory New),24,28992
StatTrak™ Sawed-Off | Origami (Field-Tested),96,1920
MP7 | Akoben (Factory New),143,4862
P250 | Sand Dune (Well-Worn),369,369
P250 | Whiteout (Field-Tested),89,287915
StatTrak™ PP-Bizon | Fuel Rod (Battle-Scarred),13,1365
Sealed Graffiti | Still Happy (Battle Green),714,714
Sealed Graffiti | Cocky (Monster Purple),270,270
Sealed Graffiti | Worry (Bazooka Pink),470,470
★ Karambit | Crimson Web (Minimal Wear),7,857591
Sealed Graffiti | Popdog (SWAT Blue),545,545
Sealed Graffiti | Loser (Monster Purple),245,490
Sealed Graffiti | Heart (Tiger Orange),279,837
Souvenir USP-S | Forest Leaves (Well-Worn),1,3310
MP7 | Asterion (Well-Worn),163,78729
Sealed Graffiti | Eat It (Jungle Green),535,1070
Sticker | mir | Krakow 2017,83,32868
MAG-7 | Irradiated Alert (Well-Worn),11,3531
Sealed Graffiti | Karambit (Princess Pink),269,538
Desert Eagle | Night (Well-Worn),26,30368
PP-Bizon | Rust Coat (Well-Worn),5,5330
Sticker | apEX | Cologne 2015,82,27552
XM1014 | Quicksilver (Field-Tested),175,4725
StatTrak™ Music Kit | Beartooth, Disgusting,36,13320
PP-Bizon | Harvester (Field-Tested),367,5505
M249 | Spectre (Well-Worn),56,672
MP9 | Sand Scale (Field-Tested),275,3025
StatTrak™ MAC-10 | Carnivore (Battle-Scarred),50,950
Sticker | flamie | Cologne 2015,25,16025
Sealed Graffiti | Chess King (Shark White),599,599
P2000 | Fire Elemental (Factory New),33,63789
MP7 | Forest DDPAT (Factory New),18,90
AWP | Phobos (Well-Worn),29,9077
Souvenir UMP-45 | Urban DDPAT (Field-Tested),68,884
StatTrak™ G3SG1 | Demeter (Battle-Scarred),11,6556
MAC-10 | Neon Rider (Field-Tested),128,68224
FAMAS | Pulse (Field-Tested),32,15488
Souvenir MP7 | Orange Peel (Minimal Wear),18,2394
Sticker | Blitzkrieg,105,7560
Sticker | dennis | Cluj-Napoca 2015,2,984
Sealed Graffiti | Ninja (Dust Brown),727,727
Sealed Graffiti | Sheriff (Violent Violet),1029,1029
StatTrak™ Galil AR | Kami (Minimal Wear),85,26605
StatTrak™ CZ75-Auto | Hexane (Field-Tested),31,5766
Desert Eagle | Naga (Well-Worn),48,5568
StatTrak™ Galil AR | Kami (Well-Worn),22,4268
StatTrak™ MAC-10 | Rangeen (Minimal Wear),29,2349
MP7 | Special Delivery (Field-Tested),142,18602
Desert Eagle | Naga (Minimal Wear),117,26910
StatTrak™ Nova | Exo (Field-Tested),59,1239
SSG 08 | Mayan Dreams (Field-Tested),9,3897
Desert Eagle | Mudder (Factory New),20,660
SG 553 | Tiger Moth (Well-Worn),128,7040
★ Karambit,7,844480
SCAR-20 | Grotto (Well-Worn),18,396
StatTrak™ MP7 | Urban Hazard (Field-Tested),292,7300
Five-SeveN | Urban Hazard (Field-Tested),33,3399
Sticker | FalleN (Foil) | Cluj-Napoca 2015,5,12470
Autograph Capsule | Team Liquid | Cluj-Napoca 2015,26,35724
StatTrak™ UMP-45 | Corporal (Battle-Scarred),75,3825
Sticker | Happy | Cologne 2015,35,11865
★ Karambit | Night (Field-Tested),7,443884
StatTrak™ AUG | Chameleon (Minimal Wear),17,13804
P250 | Undertow (Factory New),33,145530
Desert Eagle | Night (Minimal Wear),214,274776
StatTrak™ SSG 08 | Abyss (Well-Worn),257,10023
★ Flip Knife | Crimson Web (Field-Tested),5,131740
StatTrak™ Five-SeveN | Fowl Play (Minimal Wear),50,47250
Souvenir SG 553 | Fallout Warning (Field-Tested),58,7308
★ StatTrak™ Bayonet | Doppler (Factory New) - Phase 4,1,59821
StatTrak™ MAC-10 | Heat (Minimal Wear),10,8460
StatTrak™ M4A1-S | Guardian (Minimal Wear),29,159094
StatTrak™ UMP-45 | Labyrinth (Factory New),183,12627
Sticker | Piece Of Cake,19,1444
StatTrak™ USP-S | Serum (Field-Tested),3,12819
Tec-9 | Hades (Factory New),102,217974
Souvenir Nova | Polar Mesh (Field-Tested),53,901
★ StatTrak™ Huntsman Knife | Slaughter (Factory New),2,76608
AK-47 | Vulcan (Battle-Scarred),87,991191
Sticker | fer (Foil) | Cologne 2015,2,2792
FAMAS | Djinn (Minimal Wear),50,22650
AWP | Corticera (Factory New),29,99122
StatTrak™ Five-SeveN | Fowl Play (Well-Worn),17,8959
StatTrak™ CZ75-Auto | Poison Dart (Minimal Wear),11,4983
★ Bayonet | Blue Steel (Well-Worn),14,382536
AK-47 | Elite Build (Battle-Scarred),450,38700
StatTrak™ USP-S | Overgrowth (Field-Tested),11,41536
★ Flip Knife | Rust Coat (Battle-Scarred),32,515264
★ Huntsman Knife | Boreal Forest (Minimal Wear),7,75740
USP-S | Road Rash (Well-Worn),23,54395
AWP | Hyper Beast (Battle-Scarred),77,138215
StatTrak™ Nova | Ranger (Field-Tested),80,2160
Music Kit | Midnight Riders, All I Want for Christmas,23,5221
AK-47 | Case Hardened (Field-Tested),127,2759837
Glock-18 | Bunsen Burner (Well-Worn),88,3960
P2000 | Scorpion (Factory New),62,30814
StatTrak™ M4A1-S | Cyrex (Factory New),21,235725
StatTrak™ USP-S | Caiman (Minimal Wear),18,148518
★ Karambit | Stained (Minimal Wear),4,297252
StatTrak™ AK-47 | Case Hardened (Field-Tested),11,406923
M4A4 | Desert Storm (Field-Tested),26,47060
AWP | Lightning Strike (Minimal Wear),7,384335
StatTrak™ Nova | Tempest (Minimal Wear),13,9074
StatTrak™ M4A4 | Faded Zebra (Minimal Wear),25,12975
StatTrak™ AK-47 | Vulcan (Field-Tested),24,768120
AUG | Anodized Navy (Factory New),8,17848
Desert Eagle | Naga (Battle-Scarred),46,4968
AWP | Pink DDPAT (Field-Tested),114,256500
Sawed-Off | The Kraken (Minimal Wear),33,12375
P250 | Gunsmoke (Field-Tested),29,9309
CZ75-Auto | Nitro (Minimal Wear),18,18612
StatTrak™ Dual Berettas | Urban Shock (Minimal Wear),23,12282
StatTrak™ MAG-7 | Firestarter (Field-Tested),20,2280
StatTrak™ Negev | Desert-Strike (Factory New),29,2001
SCAR-20 | Crimson Web (Field-Tested),11,4906
MAC-10 | Commuter (Field-Tested),4,3748
P250 | Muertos (Field-Tested),153,57834
StatTrak™ AK-47 | Cartel (Well-Worn),4,14784
USP-S | Overgrowth (Minimal Wear),54,132246
MAC-10 | Malachite (Field-Tested),42,5040
PP-Bizon | Water Sigil (Factory New),15,3090
Glock-18 | Candy Apple (Field-Tested),92,2208
M4A4 | Griffin (Battle-Scarred),67,9380
Sealed Graffiti | Eat It (Dust Brown),679,679
Sealed Graffiti | Heart (Princess Pink),76,608
UMP-45 | Arctic Wolf (Field-Tested),83,2158
Krakow 2017 Inferno Souvenir Package,10,16580
Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,110,68310
StatTrak™ CZ75-Auto | Imprint (Well-Worn),111,1221
Tec-9 | Urban DDPAT (Factory New),80,1200
AWP | Pit Viper (Well-Worn),115,3450
SCAR-20 | Blueprint (Factory New),95,3515
Sealed Graffiti | Tilt (Frog Green),494,494
Sealed Graffiti | Karambit (Jungle Green),283,283
StatTrak™ XM1014 | Oxide Blaze (Well-Worn),8,96
Sealed Graffiti | Speechless (Dust Brown),789,789
StatTrak™ SCAR-20 | Blueprint (Minimal Wear),32,1792
Sealed Graffiti | X-Axes (Violent Violet),554,554
Sealed Graffiti | Popdog (Jungle Green),619,619
Sealed Graffiti | Worry (Monster Purple),478,956
Sealed Graffiti | Eat It (Shark White),453,453
Sealed Graffiti | Noscope (Frog Green),374,374
Sealed Graffiti | Cocky (Monarch Blue),278,278
Dual Berettas | Stained (Well-Worn),217,868
Sealed Graffiti | Sorry (Battle Green),237,237
Tec-9 | VariCamo (Factory New),142,1846
Souvenir Sawed-Off | Sage Spray (Field-Tested),151,151
Sealed Graffiti | Karambit (Monarch Blue),263,263
Sealed Graffiti | Noscope (SWAT Blue),341,341
Galil AR | Rocket Pop (Well-Worn),140,7000
Sealed Graffiti | Chess King (Tracer Yellow),695,695
Sealed Graffiti | Bling (Battle Green),597,597
Five-SeveN | Scumbria (Field-Tested),303,2424
AUG | Condemned (Factory New),49,637
Sealed Graffiti | Take Flight (Wire Blue),343,343
Desert Eagle | Night (Battle-Scarred),26,28522
FAMAS | Valence (Minimal Wear),85,23885
Sealed Graffiti | Toasted (Blood Red),873,873
Sealed Graffiti | Backstab (Brick Red),352,704
Sealed Graffiti | Tombstone (Battle Green),224,448
Sealed Graffiti | QQ (Violent Violet),435,870
Sealed Graffiti | King Me (Brick Red),298,298
Sealed Graffiti | Worry (Shark White),577,1154
Sealed Graffiti | Loser (Tracer Yellow),412,824
Sealed Graffiti | Eye Spy (Violent Violet),440,440
P2000 | Grassland (Battle-Scarred),23,9752
PP-Bizon | Bamboo Print (Field-Tested),337,103122
Souvenir UMP-45 | Urban DDPAT (Minimal Wear),51,2346
StatTrak™ R8 Revolver | Reboot (Field-Tested),42,8316
UMP-45 | Gunsmoke (Minimal Wear),122,610
Sealed Graffiti | Tombstone (Desert Amber),250,500
Sealed Graffiti | 8-Ball (Violent Violet),536,1072
Sealed Graffiti | Piggles (Tiger Orange),921,1842
Sealed Graffiti | Quickdraw (Bazooka Pink),335,670
MP9 | Hypnotic (Factory New),34,31484
XM1014 | Heaven Guard (Minimal Wear),18,15894
SCAR-20 | Bloodsport (Field-Tested),63,18837
G3SG1 | Flux (Minimal Wear),19,21052
P250 | Whiteout (Minimal Wear),106,353934
Sawed-Off | Limelight (Well-Worn),105,3990
StatTrak™ Negev | Dazzle (Battle-Scarred),35,735
Desert Eagle | Directive (Field-Tested),390,15210
Desert Eagle | Oxide Blaze (Factory New),776,44232
MP7 | Akoben (Minimal Wear),205,5330
Sealed Graffiti | Bling (Frog Green),684,684
Souvenir AUG | Colony (Minimal Wear),38,3648
Sealed Graffiti | X-Axes (Bazooka Pink),602,602
Sealed Graffiti | Loser (Wire Blue),518,518
Sticker | Hiko (Foil) | MLG Columbus 2016,10,42610
Sticker | cajunb | MLG Columbus 2016,14,9072
Sticker | Edward | MLG Columbus 2016,23,6187
Sticker | Xizt | Cluj-Napoca 2015,55,22880
Dual Berettas | Moon in Libra (Factory New),74,33078
Sealed Graffiti | Eye Spy (Jungle Green),457,457
Souvenir MAG-7 | Irradiated Alert (Field-Tested),62,1240
Desert Eagle | Mudder (Field-Tested),553,1659
USP-S | Lead Conduit (Factory New),59,23777
Gamma 2 Case Key,1267,0
MAC-10 | Lapis Gator (Minimal Wear),75,4275
P250 | Iron Clad (Field-Tested),273,4368
AUG | Contractor (Factory New),46,368
StatTrak™ SSG 08 | Necropos (Battle-Scarred),63,2898
StatTrak™ R8 Revolver | Crimson Web (Well-Worn),30,810
Sticker | Natus Vincere | Cluj-Napoca 2015,85,30685
StatTrak™ SCAR-20 | Bloodsport (Minimal Wear),4,3276
StatTrak™ AUG | Aristocrat (Field-Tested),56,8400
AWP | Phobos (Factory New),439,75069
StatTrak™ SCAR-20 | Green Marine (Field-Tested),128,4736
StatTrak™ G3SG1 | Orange Crash (Field-Tested),76,912
Sticker | dupreeh (Foil) | Cologne 2016,3,6921
Sticker | rain (Foil) | Cologne 2016,2,19950
Sticker | spaze (Foil) | Cologne 2016,2,4246
Sticker | daps (Foil) | Cologne 2016,3,9642
StatTrak™ Tec-9 | Jambiya (Minimal Wear),203,25578
SG 553 | Fallout Warning (Minimal Wear),122,28548
Guardian Pin,60,18780
Desert Eagle | Night (Field-Tested),128,142976
AUG | Ricochet (Minimal Wear),102,2856
Sticker | KRIMZ | MLG Columbus 2016,33,5874
FAMAS | Djinn (Battle-Scarred),85,12155
FAMAS | Djinn (Field-Tested),188,36096
Operation Phoenix Case Key,764,0
CZ75-Auto | Tigris (Well-Worn),43,2236
Nova | Moon in Libra (Minimal Wear),111,53613
Sticker | ESL | Cologne 2015,14,4774
Sticker | Xizt | Cologne 2015,61,18239
MP9 | Ruby Poison Dart (Minimal Wear),114,14136
Souvenir Tec-9 | VariCamo (Factory New),17,4964
Souvenir SCAR-20 | Storm (Factory New),2,3432
SCAR-20 | Emerald (Factory New),40,93440
CZ75-Auto | Yellow Jacket (Field-Tested),61,30317
Five-SeveN | Nitro (Field-Tested),16,49696
Five-SeveN | Monkey Business (Battle-Scarred),43,7439
Tec-9 | Titanium Bit (Minimal Wear),24,11112
StatTrak™ Five-SeveN | Urban Hazard (Minimal Wear),265,58565
SG 553 | Cyrex (Minimal Wear),48,32160
★ StatTrak™ Gut Knife | Damascus Steel (Field-Tested),4,45600
StatTrak™ Dual Berettas | Retribution (Minimal Wear),10,3170
Sticker | Team EnVyUs (Foil) | Cologne 2015,28,34076
CZ75-Auto | Pole Position (Factory New),36,6984
StatTrak™ MAC-10 | Heat (Factory New),11,18656
ESL One Cologne 2015 Dust II Souvenir Package,4,14568
StatTrak™ Nova | Ghost Camo (Field-Tested),11,5775
★ Flip Knife | Night (Field-Tested),10,171000
Sticker | Bomb Doge,10,830
UMP-45 | Minotaur's Labyrinth (Minimal Wear),13,140647
Sticker | I Conquered,20,440
Sawed-Off | Amber Fade (Minimal Wear),73,2117
AK-47 | Black Laminate (Well-Worn),11,27346
Desert Eagle | Pilot (Field-Tested),7,45136
P90 | Virus (Factory New),28,7980
AK-47 | Red Laminate (Battle-Scarred),68,280976
Galil AR | Sandstorm (Field-Tested),77,8239
StatTrak™ AWP | Hyper Beast (Well-Worn),14,76832
StatTrak™ Sawed-Off | Origami (Minimal Wear),103,4120
StatTrak™ CZ75-Auto | Tigris (Minimal Wear),29,7221
★ Huntsman Knife | Slaughter (Factory New),8,284424
Sticker | Let's Roll-oll (Holo),25,2625
StatTrak™ CZ75-Auto | Tread Plate (Factory New),7,9107
StatTrak™ P90 | Module (Field-Tested),118,21712
AK-47 | Jungle Spray (Field-Tested),63,27027
M4A4 | Howl (Field-Tested),10,3719220
Sticker | myXMG | DreamHack 2014,17,94350
StatTrak™ XM1014 | Tranquility (Field-Tested),17,27030
P250 | Facets (Minimal Wear),4,2216
Sticker | ESL One Cologne 2014 (Red),13,91702
MP9 | Bioleak (Field-Tested),176,2112
MP7 | Cirrus (Factory New),61,2501
P250 | Hive (Field-Tested),8,3816
Negev | Bratatat (Field-Tested),28,4704
Sawed-Off | Zander (Well-Worn),348,5916
CZ75-Auto | Tuxedo (Field-Tested),156,5460
CZ75-Auto | Hexane (Minimal Wear),18,4734
AUG | Triqua (Field-Tested),120,960
StatTrak™ Five-SeveN | Capillary (Factory New),147,14994
Glock-18 | Wraiths (Field-Tested),500,8500
Tec-9 | Avalanche (Minimal Wear),93,22692
CZ75-Auto | Crimson Web (Minimal Wear),41,5289
UMP-45 | Riot (Minimal Wear),191,4966
P90 | Grim (Battle-Scarred),144,864
AUG | Akihabara Accept (Field-Tested),4,213748
Sticker | hutji (Foil) | Boston 2018,26,16250
Sticker | kRYSTAL | Boston 2018,50,8150
Sticker | markeloff | Boston 2018,108,46008
Sticker | jR (Foil) | Boston 2018,11,7524
MP7 | Gunsmoke (Minimal Wear),62,18042
★ Bayonet | Doppler (Factory New) - Phase 4,15,910575
StatTrak™ Glock-18 | Off World (Well-Worn),38,798
Souvenir Dual Berettas | Colony (Minimal Wear),25,1500
Souvenir SG 553 | Fallout Warning (Battle-Scarred),17,1649
Sealed Graffiti | GLHF (Bazooka Pink),331,662
Sealed Graffiti | Jump Shot (Monster Purple),287,287
Sealed Graffiti | Double (Jungle Green),496,496
Sealed Graffiti | Karambit (Brick Red),279,279
Sealed Graffiti | Heart (Bazooka Pink),99,1287
Sealed Graffiti | Eat It (Brick Red),467,467
Sealed Graffiti | Loser (Brick Red),380,380
Sealed Graffiti | King Me (Tiger Orange),275,275
G3SG1 | Hunter (Battle-Scarred),106,636
Sticker | kNgV- | Krakow 2017,579,116379
Galil AR | Firefight (Well-Worn),138,3864
Souvenir Dual Berettas | Contractor (Well-Worn),2,3704
P250 | Ripple (Factory New),346,10380
PP-Bizon | Brass (Field-Tested),119,5474
StatTrak™ Sawed-Off | Serenity (Well-Worn),12,3420
Sawed-Off | Morris (Field-Tested),158,948
P2000 | Oceanic (Minimal Wear),157,2041
SG 553 | Aerial (Factory New),167,3674
Glock-18 | Royal Legion (Minimal Wear),93,24552
Galil AR | Eco (Well-Worn),68,19856
Souvenir FAMAS | Styx (Field-Tested),11,8624
Sealed Graffiti | Take Flight (Jungle Green),442,442
Sealed Graffiti | Ninja (Blood Red),382,764
Sticker | Pixiu,6,132
Sticker | The Lurker,17,765
Sticker | Noodles,9,90
Sealed Graffiti | Terror Rice,5,120
Sealed Graffiti | Eco (Dust Brown),348,348
Sealed Graffiti | Rage Mode (Shark White),411,411
Sealed Graffiti | Death Sentence (Blood Red),368,368
Sealed Graffiti | X-Knives (Violent Violet),629,629
M249 | Jungle DDPAT (Well-Worn),47,9165
Sealed Graffiti | Toasted (Tracer Yellow),873,873
Sealed Graffiti | Eat It (SWAT Blue),436,872
M4A4 | Jungle Tiger (Well-Worn),12,5916
Sealed Graffiti | Popdog (War Pig Pink),639,639
Nova | Walnut (Factory New),6,10944
Sealed Graffiti | X-Knives (Tracer Yellow),425,425
StatTrak™ Five-SeveN | Capillary (Battle-Scarred),61,1830
Sealed Graffiti | Backstab (SWAT Blue),362,362
Sealed Graffiti | Take Flight (Monster Purple),445,890
Sealed Graffiti | Sorry (Blood Red),132,264
Dual Berettas | Briar (Factory New),220,119900
Sticker | MLG (Foil) | MLG Columbus 2016,31,158379
Sticker | FaZe Clan | MLG Columbus 2016,548,115628
StatTrak™ P250 | Steel Disruption (Minimal Wear),64,36608
FAMAS | Styx (Battle-Scarred),17,3553
Sealed Graffiti | GGEZ (Brick Red),219,438
Tec-9 | Jambiya (Field-Tested),121,7018
StatTrak™ Galil AR | Sandstorm (Well-Worn),22,4136
MAG-7 | Cobalt Core (Factory New),86,4300
PP-Bizon | Jungle Slipstream (Factory New),204,6324
StatTrak™ XM1014 | Scumbria (Battle-Scarred),64,1600
StatTrak™ P250 | Iron Clad (Field-Tested),204,3468
Sealed Graffiti | Noscope (Bazooka Pink),503,503
Sealed Graffiti | Ninja (SWAT Blue),394,788
Sealed Graffiti | Eco (Violent Violet),300,300
Sealed Graffiti | Tombstone (Princess Pink),220,220
Sealed Graffiti | King Me (Shark White),248,248
Sealed Graffiti | Take Flight (SWAT Blue),360,360
StatTrak™ SG 553 | Aerial (Factory New),64,6784
Sealed Graffiti | Jump Shot (Tracer Yellow),374,374
StatTrak™ G3SG1 | Ventilator (Minimal Wear),47,1081
StatTrak™ UMP-45 | Briefing (Well-Worn),199,1791
StatTrak™ SSG 08 | Necropos (Well-Worn),124,5580
Sealed Graffiti | Eat It (War Pig Pink),477,477
StatTrak™ SCAR-20 | Green Marine (Battle-Scarred),64,3200
Sealed Graffiti | Eco (Tiger Orange),341,341
M4A4 | Buzz Kill (Minimal Wear),40,42760
Sticker | HellRaisers (Holo) | Atlanta 2017,26,162474
Sealed Graffiti | X-Knives (Brick Red),480,480
Nova | Exo (Field-Tested),232,3016
M249 | System Lock (Minimal Wear),98,2450
StatTrak™ FAMAS | Survivor Z (Field-Tested),147,6174
SCAR-20 | Green Marine (Minimal Wear),76,2660
Souvenir SSG 08 | Tropical Storm (Field-Tested),36,6264
USP-S | Lead Conduit (Battle-Scarred),88,4664
StatTrak™ P2000 | Imperial Dragon (Field-Tested),33,14685
Five-SeveN | Nightshade (Field-Tested),23,4439
StatTrak™ SG 553 | Aerial (Field-Tested),158,3160
StatTrak™ FAMAS | Survivor Z (Factory New),35,4970
StatTrak™ AK-47 | Elite Build (Battle-Scarred),227,57658
PP-Bizon | Fuel Rod (Minimal Wear),31,3534
Glock-18 | Reactor (Minimal Wear),80,50720
StatTrak™ G3SG1 | Orange Crash (Factory New),37,3404
XM1014 | Red Leather (Well-Worn),1,7081
Souvenir PP-Bizon | Sand Dashed (Battle-Scarred),6,21372
Sticker | Titan | Cluj-Napoca 2015,34,127432
Sticker | Splyce | MLG Columbus 2016,268,138288
G3SG1 | VariCamo (Battle-Scarred),78,312
Sticker | Maniac | Cologne 2015,4,8548
Sticker | G2 Esports (Foil) | Cluj-Napoca 2015,47,66223
StatTrak™ Sawed-Off | Origami (Factory New),53,3763
StatTrak™ PP-Bizon | Cobalt Halftone (Factory New),14,4648
★ Karambit | Marble Fade (Factory New),14,1962072
StatTrak™ MP9 | Rose Iron (Factory New),44,58916
Sawed-Off | Highwayman (Well-Worn),23,3542
USP-S | Para Green (Battle-Scarred),30,34200
StatTrak™ Dual Berettas | Retribution (Factory New),19,12920
Sticker | Baaa-ckstabber!,5,365
Sticker | Ninjas in Pyjamas  | Katowice 2015,83,85407
★ Karambit | Blue Steel (Field-Tested),3,264963
Tec-9 | Red Quartz (Field-Tested),282,1974
StatTrak™ P250 | Mehndi (Factory New),13,76414
AK-47 | Red Laminate (Minimal Wear),58,387440
Sticker | PENTA Sports (Foil) | Katowice 2015,11,39424
StatTrak™ MAC-10 | Malachite (Well-Worn),6,1998
FAMAS | Djinn (Factory New),13,13338
MP9 | Green Plaid (Minimal Wear),9,2556
StatTrak™ P90 | Elite Build (Battle-Scarred),129,2838
SSG 08 | Slashed (Well-Worn),66,14388
Five-SeveN | Case Hardened (Factory New),65,106990
Galil AR | Chatterbox (Field-Tested),21,135849
UMP-45 | Urban DDPAT (Factory New),44,396
P2000 | Amber Fade (Minimal Wear),52,19760
StatTrak™ P2000 | Urban Hazard (Field-Tested),30,240
MAC-10 | Ultraviolet (Well-Worn),5,830
SG 553 | Ultraviolet (Factory New),8,26072
Tec-9 | Nuclear Threat (Well-Worn),12,52668
Five-SeveN | Nitro (Factory New),51,170238
FAMAS | Styx (Factory New),28,19712
StatTrak™ Tec-9 | Re-Entry (Factory New),26,8632
StatTrak™ MP9 | Rose Iron (Minimal Wear),12,13356
USP-S | Kill Confirmed (Minimal Wear),55,375430
USP-S | Cortex (Field-Tested),37,7104
M4A1-S | VariCamo (Well-Worn),109,3488
StatTrak™ Glock-18 | Wraiths (Battle-Scarred),118,4130
P250 | Nuclear Threat (Battle-Scarred),7,498743
AWP | Oni Taiji (Well-Worn),4,65836
AK-47 | Hydroponic (Minimal Wear),7,951461
Dual Berettas | Hemoglobin (Factory New),37,26936
SSG 08 | Ghost Crusader (Field-Tested),291,13677
MAG-7 | Petroglyph (Factory New),38,5244
Sticker | olofmeister | Atlanta 2017,9,3978
StatTrak™ PP-Bizon | Judgement of Anubis (Factory New),8,26792
Sealed Graffiti | Backstab (Battle Green),425,425
